site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
MITRE,A-B,Model_Single,Final-Exam-1,5,22,NaN,1,0.7,0.360724109,2,1,NaN,0.43478260869565216,0.5652173913043479,0.6431161985253274,0.3568838014746725,0,0,P-Sensitive,0.4,0.2,NaN,0.28695652173913044,0.7130434782608696,0.32862323970506546,0.6713767602949345,0.32862323970506546,0.6713767602949345,NaN,Do_Not_Divert,-0.15986450097391303,Do_Not_Divert,-0.15986450097391303,Do_Not_Divert,-0.18307717805291826
MITRE,A-B,Model_Single,Final-Exam-1,5,23,NaN,1,0.9,0.340691838,2,0,NaN,0.43999999999999995,0.5599999999999999,0.5747439320742718,0.4252560679257282,0,0,P-Sensitive,0.4,0.2,NaN,0.2880000000000001,0.712,0.31494878641485446,0.6850512135851455,0.31494878641485446,0.6850512135851455,NaN,Do_Not_Divert,-0.18352300262399998,Do_Not_Divert,-0.18352300262399998,Do_Not_Divert,-0.2006956491515241
MITRE,A-B,Model_Single,Final-Exam-1,5,24,NaN,1,0.4,0.395770474,4,0,NaN,0.43999999999999995,0.5599999999999999,0.7299522422254546,0.2700477577745455,0,0,P-Sensitive,0.4,0.8,NaN,0.6240000000000001,0.3759999999999999,0.5080191031098182,0.49198089689018176,0.5080191031098182,0.49198089689018176,NaN,Divert,-0.3759999999999999,Divert,-0.3759999999999999,Do_Not_Divert,-0.4236047225286519
MITRE,A-B,Model_Single,Final-Exam-1,5,25,NaN,1,0.7,0.067379657,2,0,NaN,0.46153846153846156,0.5384615384615385,0.8902202262398717,0.10977977376012826,0,0,U-Sensitive,0.6,0.2,NaN,0.3846153846153846,0.6153846153846154,0.5560880904959487,0.44391190950405135,0.5560880904959487,0.44391190950405135,NaN,Do_Not_Divert,-0.6655697584615384,Divert,-0.6153846153846154,Divert,-0.44391190950405135
MITRE,A-B,Model_Single,Final-Exam-1,5,26,NaN,1,0.4,0.492382841,2,0,NaN,0.4814814814814815,0.5185185185185186,0.9605171282620993,0.03948287173790069,0,0,U-Sensitive,0.4,0.2,NaN,0.2962962962962963,0.7037037037037038,0.3921034256524199,0.6078965743475802,0.3921034256524199,0.6078965743475802,NaN,Do_Not_Divert,-0.009027743999999982,Do_Not_Divert,-0.009027743999999982,Do_Not_Divert,-0.01194685655055662
MITRE,A-B,Model_Single,Final-Exam-1,5,27,NaN,1,0.7,0.179338916,2,1,NaN,0.4827586206896552,0.5172413793103449,0.9480400141681663,0.051959985831833734,0,0,U-Sensitive,0.6,0.2,NaN,0.39310344827586197,0.606896551724138,0.5792160056672664,0.4207839943327336,0.5792160056672664,0.4207839943327336,NaN,Do_Not_Divert,-0.5042119113931034,Do_Not_Divert,-0.5042119113931034,Divert,-0.4207839943327336
MITRE,A-B,Model_Single,Final-Exam-1,5,28,NaN,1,0.4,0.28343322,3,0,NaN,0.5,0.5,0.9820585117388202,0.017941488261179857,0,0,U-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.39641170234776407,0.603588297652236,0.39641170234776407,0.603588297652236,NaN,Do_Not_Divert,-0.3898202040000001,Do_Not_Divert,-0.3898202040000001,Do_Not_Divert,-0.5150976355906423
MITRE,A-B,Model_Single,Final-Exam-1,5,29,NaN,1,0.4,0.364549466,3,0,NaN,0.5,0.5,0.9900000000000001,0.01,0,0,U-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.39818961063410385,0.6018103893658961,0.39818961063410385,0.6018103893658961,NaN,Do_Not_Divert,-0.24381096120000006,Do_Not_Divert,-0.24381096120000006,Do_Not_Divert,-0.3236099723618487
MITRE,A-B,Model_Single,Final-Exam-1,5,30,NaN,1,0.7,0.405064759,3,1,NaN,0.5,0.5,0.9879670447842969,0.012032955215703186,NaN,29,U-Sensitive,0.4,0.2,NaN,0.30000000000000004,0.7,0.39759340895685935,0.6024065910431406,0.39759340895685935,0.6024065910431406,NaN,Do_Not_Divert,-0.17088343380000004,Do_Not_Divert,-0.17088343380000004,Do_Not_Divert,-0.226473756595986
MITRE,A-B,Model_Single,Final-Exam-1,5,31,NaN,1,0.9,0.395770474,4,1,NaN,0.5,0.5,0.9840201546336116,0.01597984536638837,0,0,U-Sensitive,0.4,0.8,NaN,0.6000000000000001,0.3999999999999999,0.40639193814655533,0.5936080618534447,0.40639193814655533,0.5936080618534447,NaN,Divert,-0.3999999999999999,Divert,-0.3999999999999999,Do_Not_Divert,-0.3388643126658943
MITRE,A-B,Model_Single,Final-Exam-1,5,32,NaN,1,0.4,0.087179414,5,0,NaN,0.48571428571428565,0.5142857142857143,0.9685429874632491,0.03145701253675093,0,0,U-Sensitive,0.6,0.8,NaN,0.7028571428571427,0.2971428571428572,0.6062914025073501,0.39370859749264986,0.6062914025073501,0.39370859749264986,NaN,Divert,-0.29714285714285726,Divert,-0.29714285714285726,Divert,-0.39370859749264986
MITRE,A-B,Model_Single,Final-Exam-1,5,33,NaN,1,0.7,0.402754677,4,0,NaN,0.48571428571428577,0.5142857142857143,0.9840201546336116,0.015979845366388377,0,0,U-Sensitive,0.4,0.8,NaN,0.6057142857142856,0.39428571428571435,0.4063919381465554,0.5936080618534446,0.4063919381465554,0.5936080618534446,NaN,Divert,-0.39428571428571435,Divert,-0.39428571428571435,Do_Not_Divert,-0.31615772231726236
MITRE,A-B,Model_Single,Final-Exam-1,5,34,NaN,1,0.4,0.106301143,4,1,NaN,0.47222222222222215,0.5277777777777778,0.9685429874632491,0.031457012536750935,0,0,U-Sensitive,0.6,0.8,NaN,0.7055555555555557,0.2944444444444443,0.6062914025073501,0.39370859749264986,0.6062914025073501,0.39370859749264986,NaN,Divert,-0.2944444444444443,Divert,-0.2944444444444443,Divert,-0.39370859749264986
MITRE,A-B,Model_Single,Final-Exam-1,5,35,NaN,1,0.4,0.30261077,4,1,NaN,0.4736842105263158,0.5263157894736843,0.9584925500752163,0.041507449924783744,0,0,U-Sensitive,0.4,0.8,NaN,0.6105263157894737,0.3894736842105263,0.4166029799699135,0.5833970200300864,0.4166029799699135,0.5833970200300864,NaN,Divert,-0.3894736842105263,Divert,-0.3894736842105263,Divert,-0.5833970200300864
MITRE,A-B,Model_Single,Final-Exam-1,5,36,NaN,1,0.4,0.395770474,2,1,NaN,0.46153846153846156,0.5384615384615385,0.9202935131615595,0.07970648683844045,0,0,U-Sensitive,0.4,0.2,NaN,0.29230769230769227,0.7076923076923077,0.3840587026323119,0.6159412973676881,0.3840587026323119,0.6159412973676881,NaN,Do_Not_Divert,-0.12186836886153847,Do_Not_Divert,-0.12186836886153847,Do_Not_Divert,-0.1601210261261633
MITRE,A-B,Model_Single,Final-Exam-1,5,37,NaN,1,0.7,0.231662933,2,1,NaN,0.46341463414634143,0.5365853658536585,0.896475216480431,0.103524783519569,0,0,U-Sensitive,0.6,0.2,NaN,0.3853658536585366,0.6146341463414634,0.5585900865921725,0.44140991340782754,0.5585900865921725,0.44140991340782754,NaN,Do_Not_Divert,-0.4136317715707318,Do_Not_Divert,-0.4136317715707318,Divert,-0.44140991340782754
MITRE,A-B,Model_Single,Final-Exam-1,5,38,NaN,1,0.9,0.451564708,4,0,NaN,0.4523809523809524,0.5476190476190477,0.8123743389081154,0.18762566109188455,0,0,U-Sensitive,0.4,0.8,NaN,0.6190476190476191,0.38095238095238093,0.47505026443675386,0.5249497355632462,0.47505026443675386,0.5249497355632462,NaN,Divert,-0.38095238095238093,Do_Not_Divert,-0.23987001752380963,Do_Not_Divert,-0.18407358618137118
MITRE,A-B,Model_Single,Final-Exam-1,5,39,NaN,1,0.4,0.288965709,3,1,NaN,0.4418604651162791,0.5581395348837209,0.6840323222396787,0.31596767776032136,0,0,U-Sensitive,0.4,0.2,NaN,0.2883720930232559,0.7116279069767442,0.3368064644479357,0.6631935355520643,0.3368064644479357,0.6631935355520643,NaN,Do_Not_Divert,-0.365138401172093,Do_Not_Divert,-0.365138401172093,Do_Not_Divert,-0.42646628057392083
MITRE,A-B,Model_Single,Final-Exam-1,5,40,NaN,1,0.7,0.109757875,5,1,NaN,0.44444444444444436,0.5555555555555556,0.6188531270923208,0.38114687290767923,NaN,39,U-Sensitive,0.6,0.8,NaN,0.7111111111111112,0.2888888888888887,0.6762293745815359,0.32377062541846413,0.6762293745815359,0.32377062541846413,NaN,Divert,-0.28888888888888875,Divert,-0.28888888888888875,Divert,-0.32377062541846413
