site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_vulnerability_P_2,red_opportunity_U_1,red_opportunity_U_2,red_activity_detected_1,red_activity_detected_2,bluebook_Neutral_prob_1,bluebook_Neutral_prob_2,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_3,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_3,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Pp_normative_inc_3,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_3,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_3,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ppc_normative_inc_3,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_3,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_3,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,probs_Ptpc_normative_inc_3,sigint_time,sigint_location_1,sigint_participant_optimal_location_1,sigint_bayesian_optimal_location_1,blue_action_time,blue_action_1,blue_action_2,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_2,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_2,blue_action_normative_bayesian_expected_utility
PSU,192,Human_Single,Final-Exam-1,3,1,120729.0,2,1.0,0.334456797,0.437983013,2,2,0,1,0.1,0.1,27659.0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,10140.0,0.495,0.495,0.01,0.1,0.1,0.8,0.1,0.1,0.8,21138.0,0.396,0.01,0.594,0.09999999999999999,0.1,0.8,0.6966666666666667,0.2933333333333334,0.01,22418.0,1,1,1,8330.0,Do_Not_Divert,Do_Not_Divert,-0.2648691248000001,Do_Not_Divert,Do_Not_Divert,-0.2648691248000001,Do_Not_Divert,Do_Not_Divert,-0.08274916000000003
PSU,192,Human_Single,Final-Exam-1,3,2,73335.0,2,0.4,0.153512717,0.056970253,2,3,0,0,0.3,0.3,15865.0,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.4,6942.0,0.495,0.495,0.01,0.12,0.12,0.76,0.12,0.12,0.76,14227.0,0.4,0.4,0.2,0.12,0.11999999999999997,0.76,0.2933333333333334,0.6966666666666667,0.01,6568.0,2,1,1,5491.0,Divert,Divert,-1.4285714285714284,Do_Not_Divert,Divert,-1.1102711805714285,Do_Not_Divert,Do_Not_Divert,-0.4332993872142856
PSU,192,Human_Single,Final-Exam-1,3,3,70996.0,2,0.7,0.443770622,0.387804009,2,2,0,0,0.1,0.1,6271.0,0.1,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.8,10249.0,0.495,0.495,0.01,0.06999999999999999,0.06999999999999999,0.86,0.06999999999999999,0.06999999999999999,0.86,18533.0,0.396,0.594,0.01,0.06999999999999999,0.06999999999999998,0.8600000000000001,0.2933333333333334,0.6966666666666667,0.01,4930.0,2,1,1,4851.0,Do_Not_Divert,Do_Not_Divert,-0.2599329328421052,Do_Not_Divert,Do_Not_Divert,-0.2599329328421052,Do_Not_Divert,Do_Not_Divert,-0.044073928336448576
PSU,192,Human_Single,Final-Exam-1,3,4,69935.0,2,0.4,0.348790791,0.137053679,5,5,0,1,0.2,0.4,11200.0,0.2,0.4,0.4,0.2,0.4,0.3999999999999999,0.2,0.4,0.3999999999999999,11965.0,0.396,0.594,0.01,0.08000000000000002,0.16000000000000003,0.76,0.08000000000000002,0.16000000000000003,0.76,17378.0,0.3,0.65,0.05,0.04444444444444447,0.5333333333333333,0.42222222222222217,0.18000000000000002,0.8099999999999999,0.01,4462.0,2,2,2,6240.0,Do_Not_Divert,Divert,-0.6320120117391304,Do_Not_Divert,Divert,-0.6320120117391304,Do_Not_Divert,Divert,-0.5101203175417299
PSU,192,Human_Single,Final-Exam-1,3,5,50263.0,2,0.4,0.337248619,0.331277966,4,4,0,0,0.2,0.2,6068.0,0.2,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.6,5523.0,0.3,0.3,0.4,0.08000000000000002,0.08000000000000002,0.84,0.08000000000000002,0.08000000000000002,0.84,8283.0,0.4,0.3,0.3,0.08000000000000002,0.08,0.84,0.21238938053097348,0.504424778761062,0.2831858407079646,11559.0,2,1,1,2418.0,Do_Not_Divert,Do_Not_Divert,-0.6903668436363637,Do_Not_Divert,Do_Not_Divert,-0.6903668436363637,Do_Not_Divert,Do_Not_Divert,-0.19642869037037042
PSU,192,Human_Single,Final-Exam-1,3,6,56613.0,2,0.4,0.401825107,0.118863044,4,2,0,1,0.2,0.3,9516.0,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.3,0.5,8034.0,0.4,0.4,0.2,0.08000000000000002,0.12,0.8,0.08000000000000002,0.12,0.8,18283.0,0.396,0.594,0.01,0.050000000000000024,0.44999999999999984,0.5000000000000001,0.22222222222222227,0.6666666666666666,0.11111111111111116,5803.0,2,1,2,4602.0,Do_Not_Divert,Divert,-0.6916629776842106,Do_Not_Divert,Divert,-0.6916629776842106,Do_Not_Divert,Divert,-0.5847554746393864
PSU,192,Human_Single,Final-Exam-1,3,7,49093.0,2,0.4,0.099622344,0.457303476,4,5,0,1,0.4,0.2,7675.0,0.4,0.2,0.4,0.4,0.2,0.3999999999999999,0.4,0.2,0.3999999999999999,8050.0,0.792,0.198,0.01,0.16000000000000003,0.08000000000000002,0.76,0.16000000000000003,0.08000000000000002,0.76,7535.0,0.3,0.2,0.5,0.16,0.08000000000000002,0.76,0.8957142857142857,0.0942857142857143,0.01,3978.0,1,1,1,7753.0,Divert,Do_Not_Divert,-0.8082714187234042,Divert,Do_Not_Divert,-0.8082714187234042,Do_Not_Divert,Do_Not_Divert,-0.5066620662820097
PSU,192,Human_Single,Final-Exam-1,3,8,60107.0,2,0.7,0.125905771,0.312691703,5,2,1,0,0.4,0.1,14149.0,0.4,0.1,0.5,0.4,0.1,0.5,0.4,0.1,0.5,8923.0,0.594,0.396,0.01,0.27999999999999997,0.06999999999999999,0.65,0.27999999999999997,0.06999999999999999,0.65,12480.0,0.594,0.396,0.01,0.6999999999999998,0.029166666666666678,0.2708333333333335,0.8099999999999999,0.18000000000000002,0.01,3916.0,1,1,1,9906.0,Divert,Do_Not_Divert,-0.6840490922105265,Divert,Do_Not_Divert,-0.6840490922105265,Divert,Do_Not_Divert,-0.3129450858987667
PSU,192,Human_Single,Final-Exam-1,3,9,45240.0,2,0.4,0.111816277,0.281968674,3,3,0,0,0.3,0.1,6240.0,0.3,0.1,0.6,0.3,0.1,0.6,0.3,0.1,0.6,7270.0,0.4,0.3,0.3,0.12,0.04000000000000001,0.84,0.12,0.04000000000000001,0.84,13650.0,0.396,0.594,0.01,0.11999999999999997,0.04000000000000001,0.8400000000000001,0.6129032258064515,0.1935483870967742,0.19354838709677424,3494.0,1,1,1,5678.0,Do_Not_Divert,Do_Not_Divert,-1.1100053134736845,Do_Not_Divert,Divert,-1.0166531237894738,Do_Not_Divert,Do_Not_Divert,-0.31587701506109317
PSU,192,Human_Single,Final-Exam-1,3,10,46363.0,2,0.7,0.230668493,0.050440015,4,5,0,0,0.4,0.4,7863.0,0.4,0.4,0.2,0.4,0.4,0.19999999999999996,0.4,0.4,0.19999999999999996,6396.0,0.495,0.495,0.01,0.27999999999999997,0.27999999999999997,0.44000000000000006,0.27999999999999997,0.27999999999999997,0.44000000000000006,8876.0,0.2,0.4,0.4,0.27999999999999997,0.2799999999999999,0.44000000000000017,0.2933333333333334,0.6966666666666667,0.01,2776.0,2,1,1,4509.0,Do_Not_Divert,Divert,-0.9332154855652173,Do_Not_Divert,Divert,-0.9332154855652173,Do_Not_Divert,Divert,-1.25258013725
