site_id,response_generator_id,data_type,exam_id,task_number,trial_number,AA_measured,AA_magnitude,AA_exhibited,PDE_measured,PDE_magnitude,PDE_exhibited,RR_measured,RR_magnitude,RR_exhibited,AV_measured,AV_magnitude,AV_exhibited
PSU,108,Human_Single,Final-Exam-1,1,10,1,0.12559965783223204,1,0,NaN,NaN,1,0.20000000000000007,1,1,0.052654760400179024,1
PSU,109,Human_Single,Final-Exam-1,1,1,1,0.1593628043433304,1,0,NaN,NaN,1,0.09999999999999998,1,1,-0.19636773916712724,0
PSU,109,Human_Single,Final-Exam-1,1,2,1,0.28961812064836545,1,0,NaN,NaN,1,0.20000000000000007,1,1,0.15967246999553564,1
PSU,109,Human_Single,Final-Exam-1,1,3,1,0.12559965783223204,1,0,NaN,NaN,1,0.2799999999999999,1,1,-0.19636773916712724,0
PSU,109,Human_Single,Final-Exam-1,1,4,1,0.35259230825859256,1,0,NaN,NaN,1,0.21999999999999997,1,1,-0.19636773916712724,0
PSU,109,Human_Single,Final-Exam-1,1,5,1,0.15769110049133384,1,0,NaN,NaN,1,0.2700000000000001,1,1,-0.19636773916712724,0
PSU,109,Human_Single,Final-Exam-1,1,6,1,0.19725246359165105,1,0,NaN,NaN,1,0.20999999999999996,1,1,0.15967246999553564,1
PSU,109,Human_Single,Final-Exam-1,1,7,1,0.15072186627110717,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,109,Human_Single,Final-Exam-1,1,8,1,0.10112223183935087,1,0,NaN,NaN,1,0.23000000000000004,1,1,0.15967246999553564,1
PSU,109,Human_Single,Final-Exam-1,1,9,1,0.14114385651678885,1,0,NaN,NaN,1,0.1299999999999999,1,1,0.052654760400179024,1
PSU,109,Human_Single,Final-Exam-1,1,10,1,-0.15435800891147722,0,0,NaN,NaN,1,0.49999999999999994,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,1,1,0.12559965783223204,1,0,NaN,NaN,1,0.19999999999999996,1,1,-0.19636773916712724,0
PSU,110,Human_Single,Final-Exam-1,1,2,1,0.28961812064836545,1,0,NaN,NaN,1,0.20000000000000007,1,1,0.15967246999553564,1
PSU,110,Human_Single,Final-Exam-1,1,3,1,0.0,0,0,NaN,NaN,1,0.2799999999999999,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,4,1,0.16986354886687072,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,5,1,0.007523996056918003,1,0,NaN,NaN,1,0.2700000000000001,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,6,1,0.23088793714068578,1,0,NaN,NaN,1,0.20999999999999996,1,1,0.15967246999553564,1
PSU,110,Human_Single,Final-Exam-1,1,7,1,0.16986354886687072,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,8,1,0.11772626915092588,1,0,NaN,NaN,1,0.23000000000000004,1,1,0.15967246999553564,1
PSU,110,Human_Single,Final-Exam-1,1,9,1,0.21052504997316213,1,0,NaN,NaN,1,0.1299999999999999,1,1,0.052654760400179024,1
PSU,110,Human_Single,Final-Exam-1,1,10,1,0.0,0,0,NaN,NaN,1,0.39999999999999997,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,1,1,0.08045895423517713,1,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,2,1,0.08045895423517724,1,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,111,Human_Single,Final-Exam-1,1,3,1,0.0,0,0,NaN,NaN,1,0.2799999999999999,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,4,1,0.16986354886687072,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,5,1,0.007523996056918003,1,0,NaN,NaN,1,0.2700000000000001,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,6,1,0.2203430220854523,1,0,NaN,NaN,1,0.20999999999999996,1,1,0.15967246999553564,1
PSU,111,Human_Single,Final-Exam-1,1,7,1,0.16986354886687072,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,8,1,0.10112223183935087,1,0,NaN,NaN,1,0.23000000000000004,1,1,0.15967246999553564,1
PSU,111,Human_Single,Final-Exam-1,1,9,1,0.19392101266158712,1,0,NaN,NaN,1,0.1299999999999999,1,1,0.052654760400179024,1
PSU,111,Human_Single,Final-Exam-1,1,10,1,0.0,0,0,NaN,NaN,1,0.39999999999999997,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,1,1,0.12559965783223204,1,0,NaN,NaN,1,0.4,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,2,1,0.21960534587680558,1,0,NaN,NaN,1,0.20000000000000007,1,1,0.15967246999553564,1
PSU,112,Human_Single,Final-Exam-1,1,3,1,0.0,0,0,NaN,NaN,1,0.2799999999999999,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,4,1,0.11708639272207244,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,5,1,0.007523996056918003,1,0,NaN,NaN,1,0.2700000000000001,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,6,1,0.21960534587680558,1,0,NaN,NaN,1,0.26,1,1,0.15967246999553564,1
PSU,112,Human_Single,Final-Exam-1,1,7,1,0.16986354886687072,1,0,NaN,NaN,1,0.21999999999999997,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,8,1,0.10112223183935087,1,0,NaN,NaN,1,0.23000000000000004,1,1,0.15967246999553564,1
PSU,112,Human_Single,Final-Exam-1,1,9,1,-0.018218947826541543,0,0,NaN,NaN,1,0.1299999999999999,1,1,0.052654760400179024,1
PSU,112,Human_Single,Final-Exam-1,1,10,1,0.02904940554533142,1,0,NaN,NaN,1,0.3,1,1,0.052654760400179024,1
PSU,113,Human_Single,Final-Exam-1,1,1,1,-0.2561820855789253,0,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,113,Human_Single,Final-Exam-1,1,2,1,0.08045895423517724,1,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,113,Human_Single,Final-Exam-1,1,3,1,-0.29132989128102194,0,0,NaN,NaN,1,0.029999999999999916,1,1,-0.19636773916712724,0
PSU,113,Human_Single,Final-Exam-1,1,4,1,-0.00710894788852745,0,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,-0.19636773916712724,0
PSU,113,Human_Single,Final-Exam-1,1,5,1,0.010309777388740948,1,0,NaN,NaN,1,0.020000000000000018,1,1,-0.19636773916712724,0
PSU,113,Human_Single,Final-Exam-1,1,6,1,0.08045895423517724,1,0,NaN,NaN,1,0.05999999999999994,1,1,0.15967246999553564,1
PSU,113,Human_Single,Final-Exam-1,1,7,1,0.20560382122004517,1,0,NaN,NaN,1,0.009999999999999981,1,1,-0.6318988769385333,0
PSU,113,Human_Single,Final-Exam-1,1,8,1,0.2067460879460481,1,0,NaN,NaN,1,0.27999999999999997,1,1,0.15967246999553564,1
PSU,113,Human_Single,Final-Exam-1,1,9,1,-0.02904940554533142,0,0,NaN,NaN,1,0.07999999999999996,1,1,-0.19636773916712724,0
PSU,113,Human_Single,Final-Exam-1,1,10,1,0.18639601410563278,1,0,NaN,NaN,1,0.0,0,1,-0.6318988769385333,0
PSU,114,Human_Single,Final-Exam-1,1,1,1,-0.2561820855789253,0,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,2,1,0.05219154903600087,1,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,114,Human_Single,Final-Exam-1,1,3,1,-0.2356108197499882,0,0,NaN,NaN,1,-5.551115123125783E-17,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,4,1,-0.11203287203893875,0,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,5,1,-0.2336219709441385,0,0,NaN,NaN,1,5.551115123125783E-17,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,6,1,-0.04011661320296955,0,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,114,Human_Single,Final-Exam-1,1,7,1,-0.11203287203893875,0,0,NaN,NaN,1,-1.3877787807814457E-17,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,8,1,-0.17202155157624177,0,0,NaN,NaN,1,0.0,0,1,0.15967246999553564,1
PSU,114,Human_Single,Final-Exam-1,1,9,1,-0.006768826132456329,0,0,NaN,NaN,1,-1.1102230246251565E-16,0,1,0.052654760400179024,1
PSU,114,Human_Single,Final-Exam-1,1,10,1,-0.1894935883800546,0,0,NaN,NaN,1,0.0,0,1,0.052654760400179024,1
PSU,115,Human_Single,Final-Exam-1,1,1,1,0.9192068641040888,1,0,NaN,NaN,1,0.59,1,1,-0.19636773916712724,0
