site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_most_likely_time,red_tactics_most_likely_tactic,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,104,Human_Single,Final-Exam-1,2,1,117718.0,1,1.0,0.122406801,4,0,NaN,NaN,Aggressive,0.5,0.8,51745.0,0.7,0.3,0.65,0.35,0.65,0.35,4103.0,0.7,0.3,0.65,0.35,0.7,0.30000000000000004,10842.0,0.4,0.6,0.4814814814814815,0.5185185185185185,0.6086956521739131,0.3913043478260869,37502.0,Do_Not_Divert,-1.2082982368000001,Divert,-0.6,Divert,-0.5185185185185185
PSU,104,Human_Single,Final-Exam-1,2,2,62806.0,1,0.4,0.121429501,2,1,13369.0,Aggressive,Aggressive,0.4,0.7,7581.0,0.7,0.3,0.5846153846153846,0.41538461538461535,0.5846153846153846,0.41538461538461535,6271.0,0.4,0.6,0.23384615384615387,0.7661538461538462,0.27999999999999997,0.72,8705.0,0.6,0.4,0.4779874213836477,0.5220125786163523,0.5,0.5,16005.0,Do_Not_Divert,-0.9085691976,Divert,-0.4,Divert,-0.5220125786163523
PSU,104,Human_Single,Final-Exam-1,2,3,50263.0,1,0.4,0.316709615,2,0,3572.0,Aggressive,Aggressive,0.2,0.5,23181.0,0.5,0.5,0.4184269662921348,0.5815730337078652,0.4184269662921348,0.5815730337078652,3744.0,0.4,0.6,0.16737078651685394,0.8326292134831461,0.2,0.8,5741.0,0.4,0.6,0.09132823229350596,0.908671767706494,0.30769230769230776,0.6923076923076923,3994.0,Do_Not_Divert,-0.29326461600000003,Do_Not_Divert,-0.29326461600000003,Do_Not_Divert,-0.06695834743378457
PSU,104,Human_Single,Final-Exam-1,2,4,29593.0,1,0.4,0.128749834,4,1,4633.0,Aggressive,Aggressive,0.5,0.8,5960.0,0.8,0.2,0.7514192911057331,0.24858070889426687,0.7514192911057331,0.24858070889426687,3151.0,0.4,0.6,0.3005677164422933,0.6994322835577067,0.32000000000000006,0.6799999999999999,4539.0,0.6,0.4,0.563164820918604,0.436835179081396,0.5,0.5,4181.0,Divert,-0.4,Divert,-0.4,Divert,-0.436835179081396
PSU,104,Human_Single,Final-Exam-1,2,5,28221.0,1,0.4,0.462172589,4,1,4166.0,Aggressive,Aggressive,0.3,0.6,4665.0,0.6,0.4,0.5680646926840526,0.4319353073159474,0.5680646926840526,0.4319353073159474,4446.0,0.4,0.6,0.22722587707362105,0.7727741229263789,0.24,0.76,3713.0,0.6,0.4,0.46868356360196806,0.5313164363980319,0.5,0.5,5273.0,Do_Not_Divert,-0.1815715727999999,Do_Not_Divert,-0.1815715727999999,Do_Not_Divert,-0.1418326863145302
PSU,104,Human_Single,Final-Exam-1,2,6,33649.0,1,0.4,0.345811268,5,0,7488.0,Aggressive,Aggressive,0.3,0.6,4165.0,0.6,0.4,0.5821003772397566,0.4178996227602434,0.5821003772397566,0.4178996227602434,4384.0,0.4,0.6,0.23284015089590265,0.7671598491040974,0.24,0.76,3744.0,0.4,0.6,0.13175952985461178,0.8682404701453882,0.30769230769230776,0.6923076923076923,8674.0,Do_Not_Divert,-0.616754928,Divert,-0.6,Do_Not_Divert,-0.20315834837198735
PSU,104,Human_Single,Final-Exam-1,2,7,31855.0,1,0.7,0.311638031,2,1,6755.0,Aggressive,Aggressive,0.2,0.5,4274.0,0.5,0.5,0.47978478232278043,0.5202152176772196,0.47978478232278043,0.5202152176772196,5538.0,0.6,0.4,0.33584934762594626,0.6641506523740537,0.35,0.65,4399.0,0.6,0.4,0.6027091160264504,0.3972908839735496,0.6923076923076923,0.3076923076923077,6334.0,Do_Not_Divert,-0.4520687256,Divert,-0.4,Divert,-0.3972908839735496
PSU,104,Human_Single,Final-Exam-1,2,8,42432.0,1,0.9,0.395225375,2,1,3479.0,Aggressive,Aggressive,0.2,0.5,4259.0,0.5,0.5,0.4795732981819995,0.5204267018180004,0.4795732981819995,0.5204267018180004,9563.0,0.5,0.5,0.43161596836379956,0.5683840316362004,0.45,0.55,11544.0,0.6,0.4,0.6949472470751786,0.30505275292482137,0.6,0.4,7535.0,Do_Not_Divert,-0.2514591,Do_Not_Divert,-0.2514591,Do_Not_Divert,-0.29125134882833675
PSU,104,Human_Single,Final-Exam-1,2,9,43197.0,1,0.4,0.436206103,4,0,16037.0,Aggressive,Aggressive,0.3,0.6,4040.0,0.6,0.4,0.5906492045295191,0.4093507954704809,0.5906492045295191,0.4093507954704809,3666.0,0.5,0.5,0.23625968181180765,0.7637403181881923,0.24,0.76,5351.0,0.45,0.55,0.13395377957595603,0.866046220424044,0.4,0.6,6505.0,Do_Not_Divert,-0.22965802919999997,Do_Not_Divert,-0.22965802919999997,Do_Not_Divert,-0.06836346893623393
PSU,104,Human_Single,Final-Exam-1,2,10,41824.0,1,0.4,0.069971517,2,1,3089.0,Aggressive,Aggressive,0.4,0.7,4758.0,0.7,0.3,0.6952674352257704,0.3047325647742296,0.6952674352257704,0.3047325647742296,6022.0,0.55,0.45,0.27810697409030816,0.7218930259096918,0.27999999999999997,0.72,12028.0,0.57,0.43,0.5361222492873402,0.4638777507126598,0.6470588235294118,0.3529411764705882,7301.0,Divert,-0.43000000000000005,Divert,-0.43000000000000005,Divert,-0.4638777507126598
