site_id,subject_id,participant_ID,age,gender,visual_impairment,visual_impairment_kind,education_associate,education_bachelor,education_certificate,education_master,education_other,education_phd,education_associate_discipline,education_master_discipline,education_certificate_discipline,education_bachelor_discipline,education_phd_discipline,education_other_type,education_other-discipline,education_current_discipline,education_current_degree,probability_statistics_training,probability_statistics_usage,geospatial_data_usage,job_title_position_1,number_years_1,employer_2,employer_3,employer_4,employer_5,employer_6,employer_7,employer_8,employer_9,employer_10,employer_1,job_title_position_10,job_title_position_9,job_title_position_8,job_title_position_7,job_title_position_6,job_title_position_5,job_title_position_4,job_title_position_3,job_title_position_2,number_years_10,number_years_9,number_years_8,number_years_7,number_years_6,number_years_5,number_years_4,number_years_3,number_years_2,geospatial_analysis_expertise,spatial_ability_rating,cognitive_reflection_cents,cognitive_reflection_minutes,cognitive_reflection_days,played_video_games_ever,played_video_games_twelve_months,video_game_time,video_game_hours_per_time,bis-bas_1,bis-bas_2,bis-bas_3,bis-bas_11,bis-bas_12,bis-bas_13,bis-bas_14,bis-bas_15,bis-bas_16,bis-bas_17,bis-bas_18,bis-bas_19,bis-bas_10,bis-bas_20,bis-bas_4,bis-bas_5,bis-bas_6,bis-bas_7,bis-bas_8,bis-bas_9,bis-bas_21,bis-bas_22,bis-bas_23,bis-bas_24,cognitive_style_1,cognitive_style_2,cognitive_style_3,cognitive_style_4,cognitive_style_5,cognitive_style_6,cognitive_style_7,cognitive_style_8,cognitive_style_9,cognitive_style_10,cognitive_style_11,cognitive_style_12,cognitive_style_13,spatial_ability_1,spatial_ability_2,spatial_ability_3,spatial_ability_4,spatial_ability_5,spatial_ability_6,spatial_ability_7,spatial_ability_8,spatial_ability_9,spatial_ability_10,spatial_ability_11,spatial_ability_12,spatial_ability_13,spatial_ability_14,spatial_ability_15,water_test_1,water_test_2,water_test_3,water_test_4,water_test_5,water_test_6,SubmitButton1
PSU,117,117,43,Male,No,,Off,On,Off,Off,Off,On,,,,Meteorology,Atmospheric Science,,,,,intermediate,occasionally,occasionally,Assist Prof,17,PRC  Inc,Penn State,,,,,,,,Penn State,,,,,,,,Grad Student,Consultant,,,,,,,,4,1,none,good,5,5,47,yes,yes,week,5,very_true,very_true,somewhat_false,somewhat_true,somewhat_false,very_false,somewhat_false,very_false,somewhat_false,very_true,somewhat_true,very_true,very_false,very_false,very_true,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_false,somewhat_false,very_true,somewhat_true,somewhat_true,disagree,disagree,agree,disagree,agree,disagree,agree,agree,disagree,agree,disagree,disagree,hedgehog,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,slightly_disagree,disagree,strongly_disagree,strongly_agree,strongly_disagree,c,g,e,d,a,e,
PSU,118,118,21,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Security and Risk Analysis,Bachelor,elementary,rarely,rarely,Marina Employee,2,,,,,,,,,,Fairfax County Park Authority,,,,,,,,,,,,,,,,,,,none,average,5,100,36,yes,yes,week,2,very_true,somewhat_true,somewhat_true,somewhat_false,very_true,somewhat_false,very_true,somewhat_false,somewhat_false,somewhat_true,somewhat_true,very_true,somewhat_true,somewhat_true,very_true,very_true,somewhat_true,very_true,somewhat_false,very_true,very_true,somewhat_true,very_true,somewhat_true,agree,disagree,disagree,disagree,agree,agree,disagree,agree,agree,agree,agree,disagree,hedgehog,agree,slightly_disagree,agree,agree,no_agree_disagree,slightly_disagree,agree,slightly_disagree,agree,no_agree_disagree,disagree,disagree,disagree,agree,slightly_disagree,c,c,f,g,a,f,
PSU,119,119,22,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Secondary Education: Earth and Space,Bachelor,elementary,rarely,rarely,Car Washer,.5,Weis Grocery Store,,,,,,,,,Team Blue Car Wash,,,,,,,,,Stocker,,,,,,,,,.5,none,average,10,5,47,yes,yes,day,1,very_true,very_false,somewhat_false,somewhat_false,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,very_true,somewhat_false,very_true,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,somewhat_false,very_true,very_true,disagree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,agree,disagree,agree,fox,no_agree_disagree,agree,slightly_agree,slightly_disagree,disagree,no_agree_disagree,disagree,no_agree_disagree,disagree,disagree,no_agree_disagree,slightly_disagree,no_agree_disagree,slightly_agree,slightly_disagree,c,b,e,b,a,d,
PSU,120,120,21,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,intelligence analysis,Sra,intermediate,occasionally,never,Crew ,1,,,,,,,,,,Above and beyond ballooning,,,,,,,,,,,,,,,,,,,novice,weak,10,100,24,yes,yes,week,4,very_true,somewhat_true,very_true,somewhat_true,somewhat_false,very_true,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,very_true,very_true,very_true,very_true,very_true,somewhat_true,somewhat_true,somewhat_true,very_true,very_true,somewhat_false,agree,agree,disagree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,fox,agree,slightly_disagree,slightly_agree,slightly_agree,slightly_disagree,slightly_agree,slightly_agree,slightly_disagree,slightly_agree,slightly_disagree,slightly_disagree,slightly_agree,slightly_disagree,slightly_agree,slightly_disagree,c,c,e,e,a,d,
PSU,121,121,21,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Aerospace Engineering,Bachelor's of Science,elementary,occasionally,occasionally,Structural Engineering Intern,3,Walgreen's,,,,,,,,,Boeing,,,,,,,,,Photo Technician,,,,,,,,,2,novice,good,5,5,47,yes,yes,week,4,very_true,somewhat_false,somewhat_true,very_true,somewhat_true,very_true,very_true,very_false,very_true,very_true,very_true,very_true,very_true,somewhat_false,very_true,very_true,very_true,very_true,very_true,somewhat_true,somewhat_false,somewhat_false,somewhat_true,very_true,agree,agree,disagree,disagree,agree,agree,agree,agree,agree,agree,disagree,disagree,fox,agree,slightly_disagree,agree,strongly_agree,agree,disagree,agree,disagree,strongly_agree,strongly_disagree,disagree,strongly_disagree,disagree,strongly_agree,slightly_disagree,c,f,e,d,a,f,
PSU,122,122,23,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Psychology,Bachelors,elementary,rarely,never,Sales Associate,2,,,,,,,,,,Petco,,,,,,,,,,,,,,,,,,,none,average,10,100,1,yes,yes,day,1,somewhat_true,very_false,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,very_true,very_true,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,somewhat_true,very_true,disagree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,disagree,disagree,disagree,fox,disagree,slightly_agree,slightly_disagree,no_agree_disagree,strongly_disagree,agree,disagree,slightly_agree,slightly_disagree,agree,agree,no_agree_disagree,slightly_agree,disagree,no_agree_disagree,c,b,d,d,c,e,
PSU,123,123,30,Male,No,,Off,On,On,Off,Off,Off,,,Geographic Information Systems,Geography,,,,Homeland Security - Geospatial Intelligence,Master of Professional Study,elementary,occasionally,often,Research Technologist III,3,Stratamodel Inc.,Lake Oswego Corp.,The Pennsylvania State University - Plant Pathology,,,,,,,The Pennsylvania State University - Biology,,,,,,,Farm Technician,Operations Supervisor,Chief Field Technician,,,,,,,2,2.5,4,expert,excellent,5,5,47,yes,yes,month,1,somewhat_true,somewhat_false,somewhat_false,very_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_false,very_true,somewhat_true,very_true,somewhat_true,somewhat_true,very_true,very_true,very_false,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_true,disagree,disagree,agree,agree,agree,disagree,disagree,agree,agree,agree,agree,disagree,fox,strongly_agree,no_agree_disagree,strongly_agree,strongly_agree,strongly_agree,slightly_disagree,strongly_agree,strongly_disagree,strongly_agree,no_agree_disagree,strongly_disagree,disagree,strongly_disagree,strongly_agree,disagree,c,c,e,e,a,f,
PSU,124,124,20,Male,No,,Off,Off,Off,Off,On,Off,,,,,,High School,,Penn State,Computer Engineering/ Bachelor ,elementary,occasionally,occasionally,Lab Consultant,3,Bedford Gazette ,,,,,,,,,Penn State ITS,,,,,,,,,Foot Carrier,,,,,,,,,7,novice,good,10,100,36,yes,yes,day,2,very_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,very_true,somewhat_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_false,somewhat_false,somewhat_true,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_true,somewhat_true,somewhat_false,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,fox,agree,slightly_agree,no_agree_disagree,disagree,slightly_disagree,slightly_agree,no_agree_disagree,slightly_agree,no_agree_disagree,disagree,slightly_disagree,slightly_disagree,slightly_agree,slightly_disagree,slightly_agree,c,a,g,f,e,c,
PSU,125,125,20,Male,No,,Off,Off,Off,Off,On,Off,,,,,,High School,,Aerospace Engineering,Bachelor's,intermediate,occasionally,rarely,Life Guard/Swimming Instructor,2,StaffMart Dayton  NJ,,,,,,,,,Metuchen  NJ YMCA,,,,,,,,,Temporary Worker,,,,,,,,,1,novice,average,10,500,47,yes,yes,day,2,very_true,somewhat_false,somewhat_true,somewhat_false,somewhat_true,very_false,somewhat_true,somewhat_false,somewhat_false,somewhat_true,somewhat_true,somewhat_true,somewhat_true,somewhat_true,very_true,very_true,somewhat_true,very_true,very_false,somewhat_true,somewhat_true,very_true,very_true,somewhat_false,agree,disagree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,disagree,fox,strongly_agree,slightly_agree,strongly_agree,strongly_agree,agree,slightly_disagree,strongly_agree,disagree,strongly_agree,disagree,no_agree_disagree,disagree,no_agree_disagree,slightly_agree,disagree,c,g,e,d,a,e,
PSU,126,126,20,Male,No,,Off,Off,Off,Off,Off,Off,,,,,,,,Security and Risk Analysis,Bachelors,elementary,rarely,never,Associate,.3,US Army PKSOI,,,,,,,,,Amazon Fullfillment Centers,,,,,,,,,Research Clerk,,,,,,,,,.3,none,average,5,5,47,yes,yes,week,2,somewhat_true,somewhat_false,very_true,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,somewhat_true,very_true,somewhat_true,somewhat_true,somewhat_true,very_true,very_true,very_true,very_true,somewhat_true,somewhat_true,somewhat_false,somewhat_false,very_true,somewhat_true,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,fox,agree,agree,slightly_agree,slightly_agree,agree,slightly_disagree,no_agree_disagree,no_agree_disagree,no_agree_disagree,disagree,slightly_disagree,slightly_disagree,slightly_agree,slightly_agree,slightly_disagree,f,a,c,c,f,c,
