site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_probs_normative_tactic_1,red_tactics_probs_normative_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,150,Human_Single,Final-Exam-1,4,2,28392.0,1,1.0,0.127420121,4,1,13479.0,0.8,0.2,0.6666666666666666,0.33333333333333337,0,0,Aggressive,0.5,0.8,8174.0,0.8,0.2,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.3999999999999999,4727.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Divert,-0.3999999999999999
PSU,150,Human_Single,Final-Exam-1,4,3,18642.0,1,0.4,0.418088005,4,0,3994.0,0.8,0.2,0.5689655172413793,0.43103448275862066,0,0,Aggressive,0.3,0.6,8861.0,0.6,0.4,0.4293103448275862,0.5706896551724139,0.4293103448275862,0.5706896551724139,4617.0,Do_Not_Divert,-0.3931775760000001,Do_Not_Divert,-0.3931775760000001,Do_Not_Divert,-0.28132533455172415
PSU,150,Human_Single,Final-Exam-1,4,4,19828.0,1,0.4,0.448895275,3,0,3510.0,0.8,0.2,0.39506172839506176,0.6049382716049383,0,0,Aggressive,0.2,0.5,10499.0,0.5,0.5,0.38148148148148153,0.6185185185185185,0.38148148148148153,0.6185185185185185,4415.0,Do_Not_Divert,-0.15331417500000005,Do_Not_Divert,-0.15331417500000005,Do_Not_Divert,-0.11697303722222228
PSU,150,Human_Single,Final-Exam-1,4,5,19126.0,1,0.7,0.35850384,5,1,4493.0,0.8,0.2,0.5,0.5,0,0,Aggressive,0.3,0.6,8252.0,0.7,0.3,0.44999999999999996,0.55,0.44999999999999996,0.55,5445.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.55
PSU,150,Human_Single,Final-Exam-1,4,6,23431.0,1,0.4,0.334037971,5,0,3868.0,0.8,0.2,0.3350803017381565,0.6649196982618435,0,0,Aggressive,0.3,0.6,12231.0,0.7,0.3,0.499475909478553,0.500524090521447,0.499475909478553,0.500524090521447,6349.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.500524090521447
PSU,150,Human_Single,Final-Exam-1,4,7,15007.0,1,0.7,0.343385567,3,0,2465.0,0.8,0.2,0.46703522362142746,0.5329647763785725,0,0,Aggressive,0.2,0.5,6817.0,0.5,0.5,0.3598894329135718,0.6401105670864282,0.3598894329135718,0.6401105670864282,4149.0,Divert,-0.5,Do_Not_Divert,-0.469843299,Do_Not_Divert,-0.3381832768707035
PSU,150,Human_Single,Final-Exam-1,4,8,20264.0,1,0.9,0.330426676,3,1,3011.0,0.8,0.2,0.5722369156168646,0.42776308438313543,0,0,Aggressive,0.2,0.5,8892.0,0.8,0.2,0.3283289253149406,0.6716710746850594,0.3283289253149406,0.6716710746850594,6801.0,Divert,-0.19999999999999996,Divert,-0.19999999999999996,Do_Not_Divert,-0.3340549633860134
PSU,150,Human_Single,Final-Exam-1,4,9,17472.0,1,0.4,0.244511552,3,1,2777.0,0.8,0.2,0.3695551793135295,0.6304448206864706,0,0,Aggressive,0.4,0.7,8923.0,0.6,0.4,0.5891334462059412,0.4108665537940588,0.5891334462059412,0.4108665537940588,4493.0,Divert,-0.4,Divert,-0.4,Divert,-0.4108665537940588
PSU,150,Human_Single,Final-Exam-1,4,10,37846.0,1,0.4,0.180910849,4,1,25085.0,0.8,0.2,0.25190120501409324,0.7480987949859068,5,9,Aggressive,0.5,0.8,5788.0,0.6,0.4,0.724429638495772,0.275570361504228,0.724429638495772,0.275570361504228,5522.0,Do_Not_Divert,-1.5316279248,Divert,-0.4,Divert,-0.275570361504228
PSU,150,Human_Single,Final-Exam-1,4,11,17971.0,1,0.4,0.259079814,3,0,3541.0,0.8,0.2,0.18173091064160046,0.8182690893583996,0,0,Aggressive,0.2,0.5,6615.0,0.4,0.6,0.4454807268075199,0.5545192731924802,0.4454807268075199,0.5545192731924802,6661.0,Do_Not_Divert,-0.5782084464,Do_Not_Divert,-0.5782084464,Divert,-0.5545192731924802
PSU,150,Human_Single,Final-Exam-1,4,12,14134.0,1,0.4,0.144246285,2,0,3339.0,0.8,0.2,0.08868130828714302,0.9113186917128571,0,0,Passive,0.4,0.7,5429.0,0.65,0.35,0.6733956075138571,0.3266043924861429,0.6733956075138571,0.3266043924861429,4087.0,Divert,-0.35,Divert,-0.35,Divert,-0.3266043924861429
PSU,150,Human_Single,Final-Exam-1,4,13,21528.0,1,0.7,0.457474017,2,0,5944.0,0.8,0.2,0.16266219566505585,0.8373378043349442,0,0,Passive,0.2,0.5,9765.0,0.45,0.55,0.4512013413004832,0.5487986586995168,0.4512013413004832,0.5487986586995168,4181.0,Do_Not_Divert,-0.07654676939999998,Do_Not_Divert,-0.07654676939999998,Do_Not_Divert,-0.07675112227888617
PSU,150,Human_Single,Final-Exam-1,4,14,21809.0,1,0.9,0.199092804,4,0,7909.0,0.7,0.3,0.22802413816928718,0.7719758618307128,0,0,Passive,0.5,0.8,7363.0,0.7,0.3,0.7315927585492138,0.2684072414507862,0.7315927585492138,0.2684072414507862,5211.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.2684072414507862
PSU,150,Human_Single,Final-Exam-1,4,15,16583.0,1,1.0,0.053060838,4,0,3666.0,0.7,0.3,0.4021510225083428,0.5978489774916572,0,0,Passive,0.5,0.8,8221.0,0.9,0.1,0.6793546932474972,0.3206453067525028,0.6793546932474972,0.3206453067525028,3853.0,Divert,-0.09999999999999998,Divert,-0.09999999999999998,Divert,-0.3206453067525028
PSU,150,Human_Single,Final-Exam-1,4,16,16739.0,1,1.0,0.23640813,5,0,5725.0,0.7,0.3,0.6038250309390086,0.3961749690609914,0,0,Passive,0.5,0.8,5663.0,0.3,0.7,0.6188524907182974,0.3811475092817026,0.6188524907182974,0.3811475092817026,3744.0,Divert,-0.7,Divert,-0.7,Divert,-0.3811475092817026
PSU,150,Human_Single,Final-Exam-1,4,17,10779.0,1,1.0,0.35600078,3,0,2386.0,0.7,0.3,0.7752293577981654,0.22477064220183463,0,0,Passive,0.2,0.5,4259.0,0.4,0.6,0.2674311926605504,0.7325688073394496,0.2674311926605504,0.7325688073394496,3245.0,Divert,-0.6,Do_Not_Divert,-0.345598128,Do_Not_Divert,-0.23105929888073384
PSU,150,Human_Single,Final-Exam-1,4,18,15787.0,1,1.0,0.137555109,3,1,3027.0,0.7,0.3,0.8402267226308364,0.1597732773691636,0,0,Passive,0.4,0.7,7082.0,0.4,0.6,0.4479319832107491,0.5520680167892509,0.4479319832107491,0.5520680167892509,4774.0,Do_Not_Divert,-0.8698677384,Divert,-0.6,Divert,-0.5520680167892509
PSU,150,Human_Single,Final-Exam-1,4,19,14711.0,1,1.0,0.107329601,3,0,4587.0,0.7,0.3,0.9125061491821466,0.08749385081785346,0,0,Passive,0.4,0.7,5351.0,0.5,0.5,0.4262481552453561,0.5737518447546439,0.4262481552453561,0.5737518447546439,3978.0,Do_Not_Divert,-1.178011197,Divert,-0.5,Divert,-0.5737518447546439
PSU,150,Human_Single,Final-Exam-1,4,20,20545.0,1,1.0,0.140907211,2,1,9345.0,0.7,0.3,0.9538830301030565,0.04611696989694349,4,19,Passive,0.4,0.7,4726.0,0.5,0.5,0.41383509096908305,0.5861649090309169,0.41383509096908305,0.5861649090309169,3666.0,Do_Not_Divert,-0.7181855779999999,Divert,-0.5,Divert,-0.5861649090309169
PSU,150,Human_Single,Final-Exam-1,4,21,15944.0,1,0.4,0.284598402,3,0,4275.0,0.7,0.3,0.9224533298882502,0.07754667011174983,0,0,Passive,0.2,0.5,5928.0,0.5,0.5,0.22326400103352498,0.776735998966475,0.22326400103352498,0.776735998966475,4103.0,Divert,-0.5,Divert,-0.5,Do_Not_Divert,-0.2885485355909696
PSU,150,Human_Single,Final-Exam-1,4,22,14102.0,1,0.7,0.130858617,3,1,3042.0,0.7,0.3,0.9477515990816886,0.05224840091831145,0,0,Passive,0.4,0.7,5663.0,0.6,0.4,0.4156745202754935,0.5843254797245065,0.4156745202754935,0.5843254797245065,3728.0,Do_Not_Divert,-1.3289089787999997,Divert,-0.4,Divert,-0.5843254797245065
PSU,150,Human_Single,Final-Exam-1,4,23,14851.0,1,0.9,0.440243358,4,1,2449.0,0.7,0.3,0.9729517683696575,0.02704823163034257,0,0,Passive,0.3,0.6,4852.0,0.5,0.5,0.30811446948910276,0.6918855305108973,0.30811446948910276,0.6918855305108973,6302.0,Do_Not_Divert,-0.2390265680000001,Do_Not_Divert,-0.2390265680000001,Do_Not_Divert,-0.14729508838624195
PSU,150,Human_Single,Final-Exam-1,4,24,16973.0,1,0.4,0.110263115,4,0,3885.0,0.7,0.3,0.9477459193315243,0.05225408066847577,0,0,Passive,0.5,0.8,5429.0,0.6,0.4,0.5156762242005428,0.4843237757994572,0.5156762242005428,0.4843237757994572,6520.0,Divert,-0.4,Divert,-0.4,Divert,-0.4843237757994572
PSU,150,Human_Single,Final-Exam-1,4,25,16224.0,1,0.4,0.26490062,3,0,3869.0,0.7,0.3,0.9224533298882502,0.07754667011174982,0,0,Passive,0.2,0.5,5772.0,0.4,0.6,0.22326400103352498,0.776735998966475,0.22326400103352498,0.776735998966475,5413.0,Divert,-0.6,Do_Not_Divert,-0.5642385120000001,Do_Not_Divert,-0.3149353693158065
PSU,150,Human_Single,Final-Exam-1,4,26,12886.0,1,0.7,0.180130536,4,0,2574.0,0.7,0.3,0.94774154731686,0.0522584526831401,0,0,Passive,0.5,0.8,5257.0,0.6,0.4,0.5156775358049421,0.48432246419505787,0.5156775358049421,0.48432246419505787,3916.0,Do_Not_Divert,-1.5353734272,Divert,-0.4,Divert,-0.48432246419505787
PSU,150,Human_Single,Final-Exam-1,4,27,15101.0,1,0.9,0.327865382,4,0,4212.0,0.7,0.3,0.976205885458022,0.023794114541978044,0,0,Passive,0.3,0.6,6474.0,0.5,0.5,0.3071382343625934,0.6928617656374065,0.3071382343625934,0.6928617656374065,3307.0,Divert,-0.5,Divert,-0.5,Do_Not_Divert,-0.42295298116159596
