site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_P-Sensitive_prob_1,bluebook_U-Sensitive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,021,Human_Single,Sample-Exam-2,5,29,23447.0,1,0.4,0.22717295455317754,2,0,3822.0,46.0,54.0,0,28,U-Sensitive,0.6,0.2,16458.0,0.45,0.48883836117965374,1404.0,Divert,-0.55,Do_Not_Divert,-0.49108868180428045,Divert,-0.5111616388203463
PSU,021,Human_Single,Sample-Exam-2,5,30,14024.0,1,0.7,0.08962620493144347,2,1,3260.0,51.0,49.0,0,29,U-Sensitive,0.6,0.2,7488.0,0.52,0.47763524783857764,1373.0,Do_Not_Divert,-0.8535774937425976,Divert,-0.48,Divert,-0.5223647521614223
PSU,021,Human_Single,Sample-Exam-2,5,31,11404.0,1,0.9,0.4106588140702512,2,0,2090.0,50.0,50.0,0,30,U-Sensitive,0.4,0.2,6303.0,0.27,0.33137034612732713,2044.0,Do_Not_Divert,-0.09648848080412874,Do_Not_Divert,-0.09648848080412874,Do_Not_Divert,-0.11842007881986702
PSU,021,Human_Single,Sample-Exam-2,5,32,20888.0,1,1.0,0.3664713149641192,2,0,7909.0,57.0,43.0,0,31,U-Sensitive,0.4,0.2,8159.0,0.32,0.3238689617945177,2449.0,Do_Not_Divert,-0.1709167168459274,Do_Not_Divert,-0.1709167168459274,Do_Not_Divert,-0.17298318636943144
PSU,021,Human_Single,Sample-Exam-2,5,33,16365.0,1,1.0,0.44514585412557806,4,0,1903.0,59.0,41.0,0,32,U-Sensitive,0.4,0.8,11482.0,0.47,0.568426792628952,1591.0,Do_Not_Divert,-0.2062515884878265,Do_Not_Divert,-0.2062515884878265,Do_Not_Divert,-0.24944452961438662
PSU,021,Human_Single,Sample-Exam-2,5,34,15381.0,1,0.4,0.3602641997703626,4,1,3712.0,61.0,39.0,0,33,U-Sensitive,0.4,0.8,9080.0,0.53,0.5524302767007565,1232.0,Divert,-0.47,Divert,-0.47,Divert,-0.4475697232992435
PSU,021,Human_Single,Sample-Exam-2,5,35,22776.0,1,0.4,0.3225367694825212,3,1,3339.0,54.0,46.0,0,34,U-Sensitive,0.4,0.2,15818.0,0.24,0.32930334209480694,2699.0,Do_Not_Divert,-0.25554705194516947,Do_Not_Divert,-0.25554705194516947,Do_Not_Divert,-0.3506354094500814
PSU,021,Human_Single,Sample-Exam-2,5,36,85598.0,1,0.7,0.370072156321682,2,1,76971.0,58.0,42.0,11,35,U-Sensitive,0.4,0.2,4851.0,0.25,0.323525042369731,2262.0,Do_Not_Divert,-0.129927843678318,Do_Not_Divert,-0.129927843678318,Do_Not_Divert,-0.16813964452414248
PSU,021,Human_Single,Sample-Exam-2,5,37,30139.0,1,0.9,0.6221847653178568,2,1,16957.0,39.0,61.0,0,36,U-Sensitive,0.4,0.2,9297.0,0.25,0.3172301349238571,1436.0,Do_Not_Divert,0.12218476531785682,Do_Not_Divert,0.12218476531785682,Do_Not_Divert,0.15504275834969414
PSU,021,Human_Single,Sample-Exam-2,5,38,28907.0,1,1.0,0.05851795340066013,2,0,14711.0,35.0,65.0,0,37,U-Sensitive,0.6,0.2,10530.0,0.28,0.42092661686397814,1638.0,Do_Not_Divert,-0.4944598921912607,Do_Not_Divert,-0.4944598921912607,Divert,-0.5790733831360219
