site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,red_tactics_probs_time,red_tactics_probs_tactic_1,red_tactics_probs_tactic_2,red_tactics_batch_plot_trials_reviewed,red_tactics_batch_plot_trials_total,red_tactics_actual_red_tactic,bluebook_Passive_prob_1,bluebook_Aggressive_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,023,Human_Single,Sample-Exam-2,4,16,54194.0,1,0.4,0.27206971664978385,4,0,38516.0,20.0,80.0,15,15,Aggressive,0.3,0.6,9781.0,0.6,0.5774982812287396,3760.0,Divert,-0.4,Divert,-0.4,Divert,-0.4225017187712604
PSU,023,Human_Single,Sample-Exam-2,4,17,27846.0,1,0.7,0.10640265289148432,4,0,8440.0,50.0,50.0,0,16,Aggressive,0.5,0.8,12183.0,0.5,0.7627746827568872,5024.0,Divert,-0.5,Divert,-0.5,Divert,-0.2372253172431128
PSU,023,Human_Single,Sample-Exam-2,4,18,19890.0,1,0.4,0.5744615624367897,5,1,2652.0,50.0,50.0,0,17,Aggressive,0.3,0.6,7192.0,0.3,0.5746187790904876,1841.0,Do_Not_Divert,0.2233846873103691,Do_Not_Divert,0.2233846873103691,Do_Not_Divert,0.4278701209659821
PSU,023,Human_Single,Sample-Exam-2,4,19,21840.0,1,0.4,0.4925210262708236,4,0,4649.0,50.0,50.0,0,18,Aggressive,0.3,0.6,7551.0,0.3,0.5866382511488566,5943.0,Do_Not_Divert,-0.017949536950023326,Do_Not_Divert,-0.017949536950023326,Do_Not_Divert,-0.035099616550978215
PSU,023,Human_Single,Sample-Exam-2,4,20,18970.0,1,0.4,0.4836910745949127,5,1,4275.0,40.0,60.0,0,19,Aggressive,0.3,0.6,8112.0,0.6,0.5931042318972745,4352.0,Do_Not_Divert,-0.09785355243052396,Do_Not_Divert,-0.09785355243052396,Do_Not_Divert,-0.09672892675454264
PSU,023,Human_Single,Sample-Exam-2,4,21,20062.0,1,0.4,0.542624242749763,4,0,4462.0,29.0,71.0,0,20,Passive,0.3,0.6,9796.0,0.6,0.5964784834237562,2637.0,Do_Not_Divert,0.20459636519886218,Do_Not_Divert,0.20459636519886218,Do_Not_Divert,0.20339554937971713
PSU,023,Human_Single,Sample-Exam-2,4,22,23415.0,1,0.7,0.09344175660336107,5,1,5054.0,51.0,49.0,0,21,Passive,0.5,0.8,14430.0,0.5,0.7939106878314803,1966.0,Divert,-0.5,Divert,-0.5,Divert,-0.20608931216851967
PSU,023,Human_Single,Sample-Exam-2,4,23,27113.0,1,0.9,0.11838515321658394,4,1,4368.0,61.0,39.0,0,22,Passive,0.5,0.8,9969.0,0.51,0.7865919203815005,11060.0,Do_Not_Divert,-1.5569885748763375,Divert,-0.49,Divert,-0.2134080796184995
PSU,023,Human_Single,Sample-Exam-2,4,24,23650.0,1,0.4,0.11931036298557418,3,0,2169.0,61.0,39.0,0,23,Passive,0.4,0.7,13868.0,0.4,0.6911117931085949,5491.0,Divert,-0.6,Divert,-0.6,Divert,-0.30888820689140506
PSU,023,Human_Single,Sample-Exam-2,4,25,24788.0,1,0.4,0.17827541926157486,3,0,3260.0,50.0,50.0,0,24,Passive,0.4,0.7,15522.0,0.61,0.6948381120361266,4540.0,Divert,-0.39,Divert,-0.39,Divert,-0.30516188796387345
PSU,023,Human_Single,Sample-Exam-2,4,26,82852.0,1,0.7,0.14674770373450285,2,0,66098.0,50.0,50.0,25,25,Passive,0.4,0.7,12667.0,0.7,0.6899112937456415,2480.0,Divert,-0.30000000000000004,Divert,-0.30000000000000004,Divert,-0.31008870625435847
PSU,023,Human_Single,Sample-Exam-2,4,27,19531.0,1,0.9,0.29071651885557737,2,0,3619.0,43.0,57.0,0,26,Passive,0.2,0.5,10483.0,0.3,0.48058517797043454,3230.0,Do_Not_Divert,-0.2511401773733071,Do_Not_Divert,-0.2511401773733071,Do_Not_Divert,-0.4023141561282577
PSU,023,Human_Single,Sample-Exam-2,4,28,18112.0,1,1.0,0.5386277139695655,4,0,6911.0,55.0,45.0,0,27,Passive,0.3,0.6,7894.0,0.5,0.5712394620977558,1466.0,Do_Not_Divert,0.1545108558782622,Do_Not_Divert,0.1545108558782622,Do_Not_Divert,0.17652539640032472
