22,10,4,4,0.03,0.12,0.59,0.26
23,1,0,1,0.4,0.25,0.33,0.02
23,2,0,2,0.03,0.43,0.32,0.22
23,3,0,4,0.1,0.33,0.05,0.52
23,4,3,4,0.33,0.37,0.01,0.29
23,5,1,3,0.56,0.08,0.26,0.1
23,6,0,2,0.05,0.44,0.22,0.29
23,7,4,1,0.13,0.05,0.52,0.3
23,8,5,2,0.27,0.24,0.11,0.38
23,9,0,3,0.25,0.09,0.37,0.29
23,10,5,4,0.03,0.12,0.59,0.26
24,1,0,1,0.4,0.25,0.33,0.02
24,2,4,2,0.03,0.43,0.32,0.22
24,3,0,4,0.1,0.33,0.05,0.52
24,4,3,4,0.33,0.37,0.01,0.29
24,5,5,3,0.56,0.08,0.26,0.1
24,6,0,2,0.05,0.44,0.22,0.29
24,7,5,1,0.13,0.05,0.52,0.3
24,8,0,2,0.27,0.24,0.11,0.38
24,9,4,3,0.25,0.09,0.37,0.29
24,10,1,4,0.03,0.12,0.59,0.26
25,1,2,1,0.4,0.25,0.33,0.02
25,2,3,2,0.03,0.43,0.32,0.22
25,3,2,4,0.1,0.33,0.05,0.52
25,4,2,4,0.33,0.37,0.01,0.29
25,5,4,3,0.56,0.08,0.26,0.1
25,6,2,2,0.05,0.44,0.22,0.29
25,7,5,1,0.13,0.05,0.52,0.3
25,8,2,2,0.27,0.24,0.11,0.38
25,9,4,3,0.25,0.09,0.37,0.29
25,10,5,4,0.03,0.12,0.59,0.26
26,1,1,1,0.4,0.25,0.33,0.02
26,2,4,2,0.03,0.43,0.32,0.22
26,3,1,4,0.1,0.33,0.05,0.52
26,4,1,4,0.33,0.37,0.01,0.29
26,5,3,3,0.56,0.08,0.26,0.1
26,6,0,2,0.05,0.44,0.22,0.29
26,7,6,1,0.13,0.05,0.52,0.3
26,8,0,2,0.27,0.24,0.11,0.38
26,9,1,3,0.25,0.09,0.37,0.29
26,10,5,4,0.03,0.12,0.59,0.26
27,1,1,1,0.4,0.25,0.33,0.02
27,2,4,2,0.03,0.43,0.32,0.22
27,3,1,4,0.1,0.33,0.05,0.52
27,4,5,4,0.33,0.37,0.01,0.29
27,5,2,3,0.56,0.08,0.26,0.1
27,6,1,2,0.05,0.44,0.22,0.29
27,7,4,1,0.13,0.05,0.52,0.3
27,8,4,2,0.27,0.24,0.11,0.38
27,9,1,3,0.25,0.09,0.37,0.29
27,10,3,4,0.03,0.12,0.59,0.26
28,1,1,1,0.4,0.25,0.33,0.02
28,2,3,2,0.03,0.43,0.32,0.22
28,3,0,4,0.1,0.33,0.05,0.52
28,4,0,4,0.33,0.37,0.01,0.29
28,5,5,3,0.56,0.08,0.26,0.1
28,6,0,2,0.05,0.44,0.22,0.29
28,7,6,1,0.13,0.05,0.52,0.3
28,8,1,2,0.27,0.24,0.11,0.38
28,9,1,3,0.25,0.09,0.37,0.29
28,10,6,4,0.03,0.12,0.59,0.26
29,1,0,1,0.4,0.25,0.33,0.02
29,2,5,2,0.03,0.43,0.32,0.22
29,3,0,4,0.1,0.33,0.05,0.52
29,4,1,4,0.33,0.37,0.01,0.29
29,5,2,3,0.56,0.08,0.26,0.1
29,6,0,2,0.05,0.44,0.22,0.29
29,7,6,1,0.13,0.05,0.52,0.3
29,8,1,2,0.27,0.24,0.11,0.38
29,9,1,3,0.25,0.09,0.37,0.29
29,10,6,4,0.03,0.12,0.59,0.26
30,1,1,1,0.4,0.25,0.33,0.02
30,2,1,2,0.03,0.43,0.32,0.22
30,3,1,4,0.1,0.33,0.05,0.52
30,4,3,4,0.33,0.37,0.01,0.29
30,5,5,3,0.56,0.08,0.26,0.1
30,6,1,2,0.05,0.44,0.22,0.29
30,7,6,1,0.13,0.05,0.52,0.3
30,8,4,2,0.27,0.24,0.11,0.38
30,9,4,3,0.25,0.09,0.37,0.29
30,10,6,4,0.03,0.12,0.59,0.26
31,1,0,1,0.4,0.25,0.33,0.02
31,2,1,2,0.03,0.43,0.32,0.22
31,3,0,4,0.1,0.33,0.05,0.52
31,4,0,4,0.33,0.37,0.01,0.29
31,5,1,3,0.56,0.08,0.26,0.1
31,6,4,2,0.05,0.44,0.22,0.29
31,7,0,1,0.13,0.05,0.52,0.3
31,8,3,2,0.27,0.24,0.11,0.38
31,9,0,3,0.25,0.09,0.37,0.29
31,10,0,4,0.03,0.12,0.59,0.26
32,1,0,1,0.4,0.25,0.33,0.02
32,2,5,2,0.03,0.43,0.32,0.22
32,3,0,4,0.1,0.33,0.05,0.52
32,4,5,4,0.33,0.37,0.01,0.29
32,5,4,3,0.56,0.08,0.26,0.1
32,6,2,2,0.05,0.44,0.22,0.29
32,7,5,1,0.13,0.05,0.52,0.3
32,8,2,2,0.27,0.24,0.11,0.38
32,9,1,3,0.25,0.09,0.37,0.29
32,10,6,4,0.03,0.12,0.59,0.26
33,1,0,1,0.4,0.25,0.33,0.02
33,2,6,2,0.03,0.43,0.32,0.22
33,3,0,4,0.1,0.33,0.05,0.52
33,4,0,4,0.33,0.37,0.01,0.29
33,5,5,3,0.56,0.08,0.26,0.1
33,6,0,2,0.05,0.44,0.22,0.29
33,7,6,1,0.13,0.05,0.52,0.3
33,8,6,2,0.27,0.24,0.11,0.38
33,9,3,3,0.25,0.09,0.37,0.29
33,10,6,4,0.03,0.12,0.59,0.26
34,1,1,1,0.4,0.25,0.33,0.02
34,2,0,2,0.03,0.43,0.32,0.22
34,3,1,4,0.1,0.33,0.05,0.52
34,4,3,4,0.33,0.37,0.01,0.29
34,5,5,3,0.56,0.08,0.26,0.1
34,6,1,2,0.05,0.44,0.22,0.29
34,7,5,1,0.13,0.05,0.52,0.3
34,8,0,2,0.27,0.24,0.11,0.38
34,9,1,3,0.25,0.09,0.37,0.29
34,10,5,4,0.03,0.12,0.59,0.26
35,1,1,1,0.4,0.25,0.33,0.02
35,2,1,2,0.03,0.43,0.32,0.22
35,3,0,4,0.1,0.33,0.05,0.52
35,4,1,4,0.33,0.37,0.01,0.29
35,5,2,3,0.56,0.08,0.26,0.1
35,6,1,2,0.05,0.44,0.22,0.29
35,7,5,1,0.13,0.05,0.52,0.3
35,8,3,2,0.27,0.24,0.11,0.38
35,9,2,3,0.25,0.09,0.37,0.29
35,10,5,4,0.03,0.12,0.59,0.26
36,1,2,1,0.4,0.25,0.33,0.02
36,2,6,2,0.03,0.43,0.32,0.22
36,3,1,4,0.1,0.33,0.05,0.52
36,4,4,4,0.33,0.37,0.01,0.29
36,5,4,3,0.56,0.08,0.26,0.1
36,6,6,2,0.05,0.44,0.22,0.29
36,7,6,1,0.13,0.05,0.52,0.3
36,8,2,2,0.27,0.24,0.11,0.38
36,9,6,3,0.25,0.09,0.37,0.29
36,10,5,4,0.03,0.12,0.59,0.26
37,1,0,1,0.4,0.25,0.33,0.02
37,2,1,2,0.03,0.43,0.32,0.22
37,3,1,4,0.1,0.33,0.05,0.52
37,4,3,4,0.33,0.37,0.01,0.29
37,5,3,3,0.56,0.08,0.26,0.1
37,6,0,2,0.05,0.44,0.22,0.29
37,7,6,1,0.13,0.05,0.52,0.3
37,8,2,2,0.27,0.24,0.11,0.38
37,9,1,3,0.25,0.09,0.37,0.29
37,10,6,4,0.03,0.12,0.59,0.26
38,1,1,1,0.4,0.25,0.33,0.02
38,2,1,2,0.03,0.43,0.32,0.22
38,3,0,4,0.1,0.33,0.05,0.52
38,4,3,4,0.33,0.37,0.01,0.29
38,5,5,3,0.56,0.08,0.26,0.1
38,6,0,2,0.05,0.44,0.22,0.29
38,7,3,1,0.13,0.05,0.52,0.3
38,8,2,2,0.27,0.24,0.11,0.38
38,9,1,3,0.25,0.09,0.37,0.29
38,10,5,4,0.03,0.12,0.59,0.26
39,1,1,1,0.4,0.25,0.33,0.02
39,2,1,2,0.03,0.43,0.32,0.22
39,3,0,4,0.1,0.33,0.05,0.52
39,4,4,4,0.33,0.37,0.01,0.29
39,5,4,3,0.56,0.08,0.26,0.1
39,6,2,2,0.05,0.44,0.22,0.29
39,7,6,1,0.13,0.05,0.52,0.3
39,8,3,2,0.27,0.24,0.11,0.38
