30,6,2,2,0.23,0.77
30,7,4,1,0.65,0.35
30,8,5,2,0.4,0.6
30,9,5,1,0.56,0.44
30,10,2,1,0.86,0.14
31,1,0,2,0.75,0.25
31,2,0,1,0.75,0.25
31,3,1,2,0.5,0.5
31,4,1,2,0.25,0.75
31,5,0,1,0.93,0.07
31,6,1,2,0.4,0.6
31,7,2,1,0.6,0.4
31,8,1,2,0.35,0.65
31,9,4,1,0.35,0.65
31,10,1,1,0.72,0.28
32,1,5,2,0.9,0.1
32,2,1,1,0.8,0.2
32,3,4,2,0.8,0.2
32,4,1,2,0.25,0.75
32,5,4,1,0.4,0.6
32,6,0,2,0.1,0.9
32,7,2,1,0.7,0.3
32,8,4,2,0.6,0.4
32,9,2,1,0.6,0.4
32,10,2,1,0.6,0.4
33,1,6,2,1,0
33,2,1,1,0.75,0.25
33,3,1,2,0.2,0.8
33,4,0,2,0.25,0.75
33,5,0,1,0.8,0.2
33,6,0,2,0.34,0.66
33,7,0,1,0.93,0.07
33,8,3,2,0.3,0.7
33,9,3,1,0.5,0.5
33,10,3,1,0.5,0.5
34,1,5,2,0.95,0.05
34,2,1,1,0.9,0.1
34,3,6,2,0.9,0.1
34,4,0,2,0.1,0.9
34,5,1,1,0.75,0.25
34,6,0,2,0.1,0.9
34,7,2,1,0.75,0.25
34,8,1,2,0.25,0.75
34,9,5,1,0.2,0.8
34,10,1,1,0.8,0.2
35,1,3,2,0.8,0.2
35,2,3,1,0.57,0.43
35,3,3,2,0.43,0.57
35,4,2,2,0.4,0.6
35,5,1,1,0.62,0.38
35,6,1,2,0.17,0.83
35,7,1,1,0.57,0.43
35,8,1,2,0.36,0.64
35,9,1,1,0.5,0.5
35,10,1,1,0.6,0.4
36,1,3,2,0.8,0.2
36,2,4,1,0.4,0.6
36,3,5,2,0.95,0.05
36,4,3,2,0.5,0.5
36,5,1,1,0.85,0.15
36,6,0,2,0.05,0.95
36,7,3,1,0.45,0.55
36,8,2,2,0.47,0.53
36,9,4,1,0.4,0.6
36,10,3,1,0.6,0.4
37,1,5,2,1,0
37,2,2,1,0.67,0.33
37,3,2,2,0.75,0.25
37,4,0,2,0.21,0.79
37,5,0,1,1,0
37,6,0,2,0,1
37,7,3,1,0.54,0.46
37,8,2,2,0.17,0.83
37,9,4,1,0.17,0.83
37,10,2,1,0.6,0.4
38,1,3,2,0.9,0.1
38,2,1,1,0.7,0.3
38,3,2,2,0.65,0.35
38,4,2,2,0.29,0.71
38,5,2,1,0.41,0.59
38,6,0,2,0.19,0.81
38,7,2,1,0.5,0.5
38,8,2,2,0.42,0.58
38,9,2,1,0.5,0.5
38,10,1,1,0.5,0.5
39,1,5,2,0.77,0.23
39,2,2,1,0.6,0.4
39,3,1,2,0.6,0.4
39,4,3,2,0.6,0.4
39,5,1,1,0.7,0.3
39,6,0,2,0.1,0.9
39,7,1,1,0.6,0.4
39,8,2,2,0.25,0.75
39,9,3,1,0.6,0.4
39,10,1,1,0.7,0.3
40,1,3,2,0.67,0.33
40,2,0,1,0.62,0.38
40,3,3,2,0.58,0.42
40,4,0,2,0.4,0.6
40,5,4,1,0.46,0.54
40,6,0,2,0.4,0.6
40,7,0,1,0.6,0.4
40,8,2,2,0.46,0.54
40,9,3,1,0.44,0.56
40,10,0,1,0.61,0.39
41,1,3,2,0.8,0.2
41,2,2,1,0.8,0.2
41,3,2,2,0.6,0.4
41,4,0,2,0.35,0.65
