site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_normative_1,probs_Ppc_time,probs_Ppc_1,probs_Ppc_normative_1,probs_Pt_time,probs_Pt_1,probs_Pt_normative_1,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_normative_1,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,005,Human_Single,Sample-Exam-1,1,4,62003.0,1,0.4,0.11861665779644381,2,0,0.6,8910.0,0.6,0.6,5490.0,0.5,0.24,8177.0,0.4,0.3333333333333333,9674.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.7627666844071124,Divert,-0.5,Do_Not_Divert,-0.2080272775655761
PSU,005,Human_Single,Sample-Exam-1,1,5,87291.0,1,0.4,0.14059513952817182,3,0,0.6,8245.0,0.6,0.6,3938.0,0.5,0.24,6985.0,0.4,0.3333333333333333,57414.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-1.0782145814154847,Divert,-0.5,Do_Not_Divert,-0.29405852220422307
PSU,005,Human_Single,Sample-Exam-1,1,6,44309.0,1,0.7,0.2199268518374785,5,1,0.8,7830.0,0.8,0.8,9954.0,0.75,0.5599999999999999,5039.0,0.6,0.7499999999999999,4973.0,0.75,0.7924528301886792,NaN,Divert,-0.25,Divert,-0.25,Divert,-0.20754716981132082
PSU,005,Human_Single,Sample-Exam-1,1,7,47346.0,1,0.4,0.20731014083602806,3,0,0.6,6243.0,0.6,0.6,10282.0,0.5,0.24,8819.0,0.4,0.3333333333333333,9438.0,0.5,0.13636363636363635,NaN,Do_Not_Divert,-0.8780695774919158,Divert,-0.5,Do_Not_Divert,-0.23947352113415885
PSU,005,Human_Single,Sample-Exam-1,1,8,65918.0,1,0.7,0.2820442849216881,3,1,0.2,7447.0,0.2,0.2,29854.0,0.45,0.13999999999999999,8155.0,0.6,0.7499999999999999,8931.0,0.5,0.32812499999999983,NaN,Do_Not_Divert,-0.6538671452349357,Divert,-0.5,Do_Not_Divert,-0.42910031406042637
PSU,005,Human_Single,Sample-Exam-1,1,9,63757.0,1,0.9,0.22068185914010596,3,0,0.6,8504.0,0.6,0.6,12441.0,0.75,0.54,12125.0,0.4,0.3333333333333333,18920.0,0.75,0.3698630136986301,NaN,Do_Not_Divert,-1.2569316338695231,Divert,-0.25,Do_Not_Divert,-0.6198566961548333
PSU,005,Human_Single,Sample-Exam-1,1,10,53433.0,1,1.0,0.3162001027225234,4,0,0.4,14769.0,0.4,0.4,11959.0,0.7,0.4,5637.0,0.4,0.3333333333333333,5793.0,0.7,0.25,NaN,Do_Not_Divert,-1.0292794247538688,Divert,-0.30000000000000004,Do_Not_Divert,-0.3675997945549532
PSU,006,Human_Single,Sample-Exam-1,1,1,149635.0,1,1.0,0.11936008179624569,5,0,0.8,32557.0,0.8,0.8,19546.0,0.9,0.8,33946.0,0.4,0.3333333333333333,20389.0,0.65,0.6666666666666665,NaN,Do_Not_Divert,-2.474159468324403,Divert,-0.35,Divert,-0.3333333333333335
PSU,006,Human_Single,Sample-Exam-1,1,2,49499.0,1,1.0,0.16330383067108623,5,1,0.8,14180.0,0.8,0.8,3775.0,0.9,0.8,5007.0,0.6,0.7499999999999999,9641.0,0.75,0.923076923076923,NaN,Divert,-0.25,Divert,-0.25,Divert,-0.07692307692307698
PSU,006,Human_Single,Sample-Exam-1,1,3,64210.0,1,0.4,0.14276261550754787,2,0,0.6,7894.0,0.6,0.6,9921.0,0.5,0.24,21278.0,0.8,0.3333333333333333,12106.0,0.65,0.13636363636363635,NaN,Do_Not_Divert,-0.9288171996803756,Divert,-0.35,Do_Not_Divert,-0.19485675517770115
PSU,006,Human_Single,Sample-Exam-1,1,4,61651.0,1,0.4,0.11861665779644381,2,0,0.6,6864.0,0.6,0.6,16146.0,0.5,0.24,13385.0,0.4,0.3333333333333333,10046.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.6864900159664011,Divert,-0.55,Do_Not_Divert,-0.2080272775655761
PSU,006,Human_Single,Sample-Exam-1,1,5,46644.0,1,0.4,0.14059513952817182,3,0,0.6,7706.0,0.6,0.6,3963.0,0.5,0.24,11747.0,0.45,0.3333333333333333,12745.0,0.47,0.13636363636363635,NaN,Do_Not_Divert,-1.0135217065305555,Divert,-0.53,Do_Not_Divert,-0.29405852220422307
PSU,006,Human_Single,Sample-Exam-1,1,6,43586.0,1,0.7,0.2199268518374785,5,1,0.8,6349.0,0.8,0.8,7176.0,0.75,0.5599999999999999,6880.0,0.6,0.7499999999999999,10108.0,0.67,0.7924528301886792,NaN,Divert,-0.32999999999999996,Divert,-0.32999999999999996,Divert,-0.20754716981132082
PSU,006,Human_Single,Sample-Exam-1,1,7,34617.0,1,0.4,0.20731014083602806,3,0,0.6,5429.0,0.6,0.6,7738.0,0.5,0.24,7894.0,0.4,0.3333333333333333,4243.0,0.45,0.13636363636363635,NaN,Do_Not_Divert,-0.7902626197427243,Divert,-0.55,Do_Not_Divert,-0.23947352113415885
PSU,006,Human_Single,Sample-Exam-1,1,8,33446.0,1,0.7,0.2820442849216881,3,1,0.2,6957.0,0.2,0.2,4305.0,0.45,0.13999999999999999,8268.0,0.6,0.7499999999999999,6381.0,0.53,0.32812499999999983,NaN,Do_Not_Divert,-0.6930991739490319,Divert,-0.47,Do_Not_Divert,-0.42910031406042637
