site_id,response_generator_id,data_type,exam_id,task_number,trial_number,trial_time,num_blue_locations,red_capability_Pc,red_vulnerability_P_1,red_opportunity_U_1,red_activity_detected_1,bluebook_Netural_prob_1,probs_Pp_time,probs_Pp_1,probs_Pp_2,probs_Pp_normative_1,probs_Pp_normative_2,probs_Pp_normative_inc_1,probs_Pp_normative_inc_2,probs_Ppc_time,probs_Ppc_1,probs_Ppc_2,probs_Ppc_normative_1,probs_Ppc_normative_2,probs_Ppc_normative_inc_1,probs_Ppc_normative_inc_2,probs_Pt_time,probs_Pt_1,probs_Pt_2,probs_Pt_normative_1,probs_Pt_normative_2,probs_Pt_normative_inc_1,probs_Pt_normative_inc_2,probs_Ptpc_time,probs_Ptpc_1,probs_Ptpc_2,probs_Ptpc_normative_1,probs_Ptpc_normative_2,probs_Ptpc_normative_inc_1,probs_Ptpc_normative_inc_2,blue_action_time,blue_action_1,blue_action_expected_utility,blue_action_normative_participant_1,blue_action_normative_participant_expected_utility,blue_action_normative_bayesian_1,blue_action_normative_bayesian_expected_utility
PSU,105,Human_Single,Final-Exam-1,1,1,215998.0,1,1.0,0.484673201,4,0,0.4,39858.0,0.4,0.6,0.4,0.6,0.4,0.6,52946.0,0.4,0.6,0.4,0.6,0.4,0.6,46535.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,16505.0,0.16,0.84,0.25,0.75,0.30769230769230776,0.6923076923076923,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.019618302720000005,Do_Not_Divert,-0.030653598000000004
PSU,105,Human_Single,Final-Exam-1,1,2,123458.0,1,1.0,0.103481851,2,1,0.6,12246.0,0.6,0.4,0.6,0.4,0.6,0.4,4181.0,0.6,0.4,0.6,0.4,0.6,0.4,14882.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,40170.0,0.4,0.6,0.8181818181818181,0.18181818181818188,0.6923076923076923,0.3076923076923077,NaN,Divert,NaN,Divert,-0.6,Divert,-0.18181818181818188
PSU,105,Human_Single,Final-Exam-1,1,3,107953.0,1,0.4,0.146325185,5,0,0.8,7425.0,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,28330.0,0.35,0.65,0.32000000000000006,0.6799999999999999,0.32000000000000006,0.6799999999999999,22635.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,12387.0,0.2,0.8,0.1904761904761905,0.8095238095238095,0.26415094339622636,0.7358490566037736,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.70734963,Do_Not_Divert,-0.6736663142857143
PSU,105,Human_Single,Final-Exam-1,1,4,84583.0,1,0.4,0.431649873,2,0,0.2,4384.0,0.2,0.8,0.2,0.8,0.2,0.8,19095.0,0.16,0.84,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,13385.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,14430.0,0.08,0.92,0.041666666666666664,0.9583333333333334,0.11267605633802816,0.8873239436619719,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.021872040639999996,Do_Not_Divert,-0.01139168783333333
PSU,105,Human_Single,Final-Exam-1,1,5,51262.0,1,0.7,0.475453163,4,0,0.4,3526.0,0.4,0.6,0.4,0.6,0.4,0.6,13276.0,0.3,0.7,0.27999999999999997,0.72,0.27999999999999997,0.72,12776.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,6973.0,0.15,0.85,0.1627906976744186,0.8372093023255814,0.2222222222222222,0.7777777777777778,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.029456204399999984,Do_Not_Divert,-0.03196797376744184
PSU,105,Human_Single,Final-Exam-1,1,6,46379.0,1,0.9,0.177883181,3,1,0.6,4587.0,0.6,0.4,0.6,0.4,0.6,0.4,8549.0,0.55,0.45,0.54,0.45999999999999996,0.54,0.45999999999999996,5507.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,9812.0,0.35,0.65,0.7788461538461537,0.22115384615384626,0.6470588235294118,0.3529411764705882,NaN,Divert,NaN,Divert,-0.65,Divert,-0.22115384615384626
PSU,105,Human_Single,Final-Exam-1,1,7,86424.0,1,0.4,0.423021625,3,0,0.2,4025.0,0.2,0.8,0.2,0.8,0.2,0.8,11232.0,0.1,0.9,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,44444.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,4602.0,0.05,0.95,0.041666666666666664,0.9583333333333334,0.06896551724137931,0.9310344827586207,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.023093512499999996,Do_Not_Divert,-0.019244593749999997
PSU,105,Human_Single,Final-Exam-1,1,8,44351.0,1,0.7,0.187121096,2,1,0.6,3338.0,0.6,0.4,0.6,0.4,0.6,0.4,5210.0,0.45,0.55,0.42,0.5800000000000001,0.42,0.5800000000000001,6521.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,16973.0,0.3,0.7,0.684782608695652,0.315217391304348,0.5510204081632653,0.44897959183673475,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.3754546848,Divert,-0.315217391304348
PSU,105,Human_Single,Final-Exam-1,1,9,47377.0,1,0.9,0.247636435,4,0,0.8,3120.0,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,4680.0,0.75,0.25,0.7200000000000001,0.2799999999999999,0.7200000000000001,0.2799999999999999,12792.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,13384.0,0.3,0.7,0.5625000000000001,0.4374999999999999,0.6666666666666666,0.33333333333333337,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.605672556,Divert,-0.4374999999999999
PSU,105,Human_Single,Final-Exam-1,1,10,29609.0,1,1.0,0.402986574,3,0,0.2,3042.0,0.2,0.8,0.2,0.8,0.2,0.8,3994.0,0.2,0.8,0.2,0.8,0.2,0.8,5648.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,8564.0,0.1,0.9,0.11111111111111109,0.888888888888889,0.14285714285714288,0.8571428571428571,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.05820805560000001,Do_Not_Divert,-0.06467561733333332
PSU,106,Human_Single,Final-Exam-1,1,1,123692.0,1,1.0,0.484673201,4,0,0.4,32885.0,0.4,0.6,0.4,0.6,0.4,0.6,10670.0,0.6,0.4,0.4,0.6,0.4,0.6,28252.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,11154.0,0.5,0.5,0.25,0.75,0.5,0.5,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.06130719600000001,Do_Not_Divert,-0.030653598000000004
PSU,106,Human_Single,Final-Exam-1,1,2,56815.0,1,1.0,0.103481851,2,1,0.6,6318.0,0.6,0.4,0.6,0.4,0.6,0.4,6084.0,0.8,0.2,0.6,0.4,0.6,0.4,10140.0,0.6,0.4,0.7499999999999999,0.2500000000000001,0.7499999999999999,0.2500000000000001,7394.0,0.85,0.15,0.8181818181818181,0.18181818181818188,0.8571428571428572,0.1428571428571428,NaN,Divert,NaN,Divert,-0.15000000000000002,Divert,-0.18181818181818188
PSU,106,Human_Single,Final-Exam-1,1,3,86362.0,1,0.4,0.146325185,5,0,0.8,7847.0,0.8,0.2,0.8,0.19999999999999996,0.8,0.19999999999999996,5835.0,0.5,0.5,0.32000000000000006,0.6799999999999999,0.32000000000000006,0.6799999999999999,13728.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,4025.0,0.3,0.7,0.1904761904761905,0.8095238095238095,0.4,0.6,NaN,Do_Not_Divert,NaN,Divert,-0.7,Do_Not_Divert,-0.6736663142857143
PSU,106,Human_Single,Final-Exam-1,1,4,45038.0,1,0.4,0.431649873,2,0,0.2,9406.0,0.2,0.8,0.2,0.8,0.2,0.8,6521.0,0.3,0.7,0.08000000000000002,0.9199999999999999,0.08000000000000002,0.9199999999999999,7098.0,0.4,0.6,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.6666666666666667,3822.0,0.35,0.65,0.041666666666666664,0.9583333333333334,0.2222222222222222,0.7777777777777778,NaN,Do_Not_Divert,NaN,Do_Not_Divert,-0.09569017779999997,Do_Not_Divert,-0.01139168783333333
